# from crisprcasdb
# collected by purpurax

"name","crispr count","cas_region count"
AP019845.1,4,4
CP027570.1,6,4
CP034791.1,9,4
CP072649.1,4,4
CP021056.1,9,4
CP028896.1,4,4
CP016313.1,6,4
CP083757.1,4,4
CP000909.1,3,4
CP033729.1,9,4
CP024595.1,4,4
CP005385.1,5,4
CP091279.1,6,4
CP012889.1,4,4
CP034118.1,13,4
CP001399.1,4,4
CP011374.1,5,4
CP001696.1,5,4
CP024592.1,4,4
CP024591.1,5,4
CP053844.1,4,4
CP002032.1,3,4
CP053288.1,9,4
CP063232.1,14,4
AP018216.1,12,4
HE576794.1,6,4
CP001785.1,8,4
CP007756.1,4,4
LR134488.1,3,4
CP083931.1,5,4
CP003549.1,11,4
CP047972.1,3,4
CP014360.1,4,4
AP014508.1,4,4
CP002028.1,7,4
AP017920.1,7,4
CP061799.1,8,4
LR792684.1,3,4
CP002219.1,6,4
CP073250.1,6,4
CP007031.1,4,4
AP018248.1,18,4
CP048875.1,5,4
AE015924.1,4,4
CP010999.1,4,4
CP017675.1,7,4
CP002330.1,8,4
CP024912.1,1,4
CP006577.1,7,4
CP016394.1,4,4
CP000568.1,5,4
LR792683.1,3,4
CP013251.1,7,4
CP009504.1,6,4
CP025990.1,37,4
AP014510.1,3,4
CP030928.1,4,4
CP001403.1,2,4
CP003928.1,6,4
CP050504.1,12,4
CP001798.1,6,4
AP025226.1,6,4
CP026614.2,6,3
AP013045.1,2,3
CP012946.1,4,3
CP046134.1,3,3
CP061019.1,3,3
LR593887.1,4,3
CP072639.1,2,3
LR822019.1,3,3
CP004390.1,7,3
CP001808.1,7,3
CP002737.1,20,3
LR778114.1,2,3
CP017173.1,4,3
CP022423.1,7,3
CP047628.1,3,3
CP000816.1,12,3
CP024596.1,3,3
AP023027.1,11,3
CP009709.1,3,3
CP073779.1,3,3
CP050884.1,3,3
CP061025.1,2,3
AP010946.1,6,3
CP054511.1,2,3
CP054505.1,2,3
CP042327.1,2,3
AP018269.1,10,3
CP013992.1,3,3
CP012196.1,3,3
CP000492.1,6,3
CP049303.1,1,3
FO082060.1,3,3
CP002425.1,2,3
AP017295.1,9,3
CP020664.1,2,3
AP014520.1,2,3
CP017171.1,6,3
CP054518.1,2,3
AP018298.1,4,3
CP003685.1,8,3
CP019454.1,5,3
CP068552.1,6,3
CP040517.1,3,3
CP061336.1,4,3
CP012158.1,7,3
CP016277.1,2,3
CP054206.2,4,3
AP018317.1,4,3
CP003184.1,5,3
CP003686.1,3,3
CP013118.1,4,3
CP073349.1,3,3
CP071446.1,6,3
CM002371.1,5,3
AP018207.1,10,3
CP001826.1,2,3
CP015103.1,7,3
CP028914.1,6,3
CP085963.1,3,3
CP054501.1,2,3
CP036313.1,4,3
CP033213.1,6,3
CP077717.1,4,3
CP021130.1,5,3
AP017305.1,4,3
CP062796.1,1,3
CP016808.1,7,3
CP058708.1,2,3
CP002629.1,5,3
CP054500.1,2,3
CP070499.1,3,3
CP001037.1,5,3
LR822033.1,3,3
CP054510.1,2,3
CP011107.1,8,3
CP017019.1,5,3
CP011217.1,3,3
CP054698.1,14,3
CP084541.1,10,3
CP002340.1,3,3
CP025018.1,5,3
CP072943.1,2,3
CP027569.1,7,3
AP021879.1,5,3
CP054503.1,2,3
CP054516.1,2,3
AP014815.1,4,3
CP002171.1,5,3
CP017638.1,4,3
CP018099.1,5,3
CP043547.1,3,3
CM001775.1,3,3
CP013653.1,7,3
CP002770.1,9,3
CP009505.1,12,3
LR991655.1,2,3
CP012670.1,8,3
CP003499.1,3,3
CP068555.1,6,3
AP012203.1,5,3
CP029462.1,6,3
CP002048.1,2,3
CP000806.1,3,3
CP024104.1,2,3
CP000613.2,7,3
AP024619.1,4,3
CP000612.1,5,3
AE000666.1,2,3
CP047191.1,3,3
CP002466.1,5,3
CP076448.1,4,3
CP065477.1,3,3
CP072800.1,5,3
CP014924.1,4,3
CP025085.1,4,3
CP000924.1,7,3
CP063275.1,3,3
CP054496.1,2,3
CP043929.1,4,3
CP003126.1,8,3
CP003496.2,2,3
CP054507.1,2,3
CP023154.1,8,3
CP040463.1,5,3
CP021255.1,5,3
AP019831.1,4,3
CP046457.1,6,3
CP075902.1,7,3
AHJT01000001.1,3,3
CP001634.1,5,3
CP035282.1,9,3
CP002683.1,3,3
CP003066.1,3,3
LR822034.1,3,3
AP018167.1,3,3
CP016893.1,1,3
CP034193.1,3,3
CP012109.1,4,3
CP047056.1,4,3
CP013828.1,5,3
CP017305.1,3,3
CP068055.1,2,3
AP019005.1,3,3
CP046573.1,3,3
CP002009.1,14,3
CP076449.1,2,3
CP009503.1,3,3
CP076326.1,4,3
CP001014.1,10,3
CP076458.1,2,3
CP033216.1,5,3
CP014673.1,7,3
CP002100.1,9,3
CP000113.1,4,3
CM001022.1,3,3
LR822036.1,3,3
CP012588.1,3,3
AP021876.1,4,3
CP068556.1,6,3
CP082868.1,6,3
CP054497.1,2,3
CP024101.1,2,3
CP007389.1,5,3
CP016502.1,5,3
CP012959.1,3,3
CP000239.1,9,3
CP042392.1,5,3
CP008934.1,4,3
CP031545.1,3,3
AE000782.1,3,3
CP019724.1,11,3
CP036317.1,2,3
CP031251.1,5,3
CP015107.1,2,3
CP046159.1,1,3
CP071091.1,4,3
AP024961.1,2,3
CP054509.1,2,3
CP002353.1,1,3
LR134406.1,4,3
CP002416.1,5,3
CP044354.1,3,3
CP019864.1,6,3
CP014672.1,13,3
CP063959.1,3,3
CP051168.1,8,3
CP054187.1,2,3
CP003534.1,8,3
CP046565.1,3,3
CP003408.1,7,3
CP037811.1,6,3
CP003065.1,3,3
LR884459.1,2,3
CP054506.1,2,3
CP019717.1,6,3
CP084167.1,5,3
CP003989.2,6,3
LR822040.1,2,3
CP044205.1,3,3
CP072645.1,2,3
CP001731.1,4,3
CP072793.1,3,3
CP091285.1,2,3
CP002690.1,3,3
CP063845.1,3,3
CP020771.1,5,3
CP018912.1,2,3
CP049053.1,3,3
CP003273.1,6,3
CP054512.1,2,3
LR134524.1,2,3
CP009528.1,4,3
CP032416.1,4,3
CP053676.1,2,3
CP012325.1,6,3
CP002426.1,4,3
CP061021.1,2,3
LN907867.1,4,3
LR134535.1,5,3
CP016379.1,7,3
CP072385.1,2,3
CP091467.1,7,3
AP017646.1,5,3
AE016827.1,3,3
CP001936.1,4,3
CP004077.1,8,3
CP025197.1,2,3
CP066287.1,2,3
CP047616.1,3,3
CP040846.1,5,3
CP072600.1,3,3
CP035499.1,5,3
CP012159.1,8,3
CP027862.1,9,3
CP002529.1,4,3
AP012029.1,5,3
CP076718.1,3,3
CP051185.1,5,3
CP025228.1,14,3
CP003948.1,2,3
CP024120.1,3,3
LR134514.1,4,3
CP073348.1,3,3
CP022752.1,10,3
CP054502.1,2,3
FN665653.1,6,3
CP061024.1,3,3
CP071008.1,2,3
CP040007.1,2,3
CP002902.1,3,3
CP002734.1,2,3
AE009950.1,8,3
AP022323.1,12,3
CP045484.1,6,3
LR991656.1,3,3
LR822013.1,3,3
AP009510.1,2,3
CP080534.1,4,3
CP042908.1,3,3
CP061020.1,3,3
CP017174.1,4,3
CP000923.1,4,3
CP003587.1,5,3
CP021790.1,4,3
CP003222.2,2,3
CP033078.1,6,3
CP061080.1,6,3
LR822017.1,3,3
CP068054.1,4,3
CP033214.1,6,3
CM001632.1,5,3
CP009520.1,5,3
CP070500.1,4,3
CP075171.1,5,3
CP061072.1,3,3
LR822030.1,3,3
CP002667.1,2,3
CP042266.1,3,3
AM746676.1,5,3
CP054515.1,2,3
CP002085.1,3,3
CP054498.1,2,3
CP048795.1,8,3
CP019509.1,10,3
CP013012.1,2,3
CM001402.1,5,3
CP065936.1,8,3
LR822029.1,3,3
CP030927.1,3,3
CP066802.1,7,3
CP001901.1,19,3
CP068560.1,6,3
AP021856.1,3,3
AP017991.1,4,3
CP044493.1,3,3
CP021319.1,6,3
CP009530.1,3,3
AP022873.1,10,3
CP054499.1,2,3
LR822042.1,3,3
CP075685.1,6,3
AE000512.1,8,3
CP036279.1,3,3
CP002838.1,7,3
CP054188.1,3,3
CP025084.1,4,3
CP010967.1,8,3
CP061022.1,3,3
AP018315.1,2,3
CP054508.1,2,3
CP003255.1,10,3
CP042937.1,3,3
CP071793.1,8,3
CP034099.1,4,3
CP036345.1,12,3
CP010992.1,2,3
CP009526.1,3,3
CP019935.1,3,3
CP016077.1,13,3
CP040817.1,6,3
AP018227.1,8,3
LT907983.1,6,3
CP003316.1,5,3
CP000716.1,5,3
CP070491.1,2,3
CP002858.1,7,3
CP075684.1,6,3
CP012071.1,8,3
CP091913.1,8,3
CP002515.1,2,3
CP002835.1,5,3
CP072467.1,11,3
CP013131.1,4,3
CP009524.1,4,3
CP068553.1,6,3
AM889285.1,3,3
LR822009.1,2,3
CP001189.1,4,3
CP004044.1,10,3
CP053014.1,6,3
AP019791.1,2,3
CP009961.1,2,3
AP017367.1,7,3
CP018793.1,2,3
CP039845.1,2,3
CP072633.1,2,3
LT906477.1,4,3
CP001291.1,10,3
CP028525.1,7,3
CP065375.1,4,3
CP072641.1,2,3
CP002778.1,6,3
CP048617.1,8,3
CP074691.1,4,3
CP016877.1,3,3
CP054495.1,2,3
AP014854.2,3,3
CP023669.1,3,3
CP022297.1,5,3
CP035306.1,3,3
CP054517.1,2,3
CP004025.1,5,3
CP011271.1,1,3
CP023699.1,7,3
CP013015.1,2,3
CP040504.1,4,3
CP013068.1,3,3
CP003660.1,3,3
CP002043.1,1,3
CP001349.1,4,3
CP024594.1,4,3
CP071092.1,3,3
AP012337.1,4,3
CP060212.1,5,3
CP073586.1,2,3
CP082780.1,3,3
CP072377.1,3,3
CP003181.2,4,3
CP001804.1,3,3
CP027782.1,9,3
LT907978.1,3,3
CP051861.1,2,3
CP002547.1,3,3
LR792634.1,9,3
CP014859.1,10,3
AP019827.1,5,3
CP068557.1,6,3
CP068561.1,6,3
CP007013.1,8,3
CP000561.1,3,3
CP003646.1,3,3
LT629775.1,3,3
CP076324.1,5,3
CP073350.1,3,3
AP019802.1,3,3
CP040443.1,5,3
CP022547.1,2,3
CP054513.1,2,3
CP075683.1,6,3
CP061023.1,3,3
CP014912.1,4,3
CP003287.1,3,3
AP024596.1,5,3
LS974444.1,3,3
CP083582.1,5,3
CP065955.1,3,3
LR822035.1,3,3
CP059572.1,7,3
CP025249.1,4,3
CP000254.1,7,3
CP084166.1,3,3
CP001836.1,6,3
CP073754.1,4,3
CP026615.2,6,3
LR746496.1,2,3
CP022961.1,12,3
CP001146.1,3,3
LR134362.1,2,3
CP026613.2,6,3
CP054504.1,2,3
CP036267.1,3,3
AP018290.1,9,3
CP011108.1,8,3
LR822008.1,3,3
CP054494.1,2,3
CP003992.2,10,3
CP003614.1,10,3
CP016553.1,3,3
CP000477.1,3,3
CP030118.1,8,3
CP086393.1,8,3
CP024593.1,4,3
CP080538.1,4,3
FO818640.1,5,3
CP030121.1,8,3
CM001488.1,3,3
CP054919.1,5,3
CP072643.1,2,3
CP054514.1,2,3
CP002739.1,3,3
CP068559.1,6,3
LR134365.1,4,3
CP025931.1,3,3
AP017962.1,1,3
CP030158.1,4,3
CP045224.1,6,3
CP046058.1,6,3
CP091284.1,7,3
LT906475.1,2,2
CP037853.1,9,2
CP019817.1,1,2
LR134506.1,5,2
CP037848.1,7,2
CP002412.1,3,2
CP004353.1,3,2
CP032508.2,2,2
LR699017.1,4,2
CP044509.1,6,2
CP011859.1,1,2
AP019663.1,3,2
CP008822.1,4,2
CP003653.1,3,2
CP031606.1,4,2
CP030834.1,3,2
CP009514.1,3,2
CP009513.1,4,2
CP020353.1,2,2
CP010953.1,3,2
CP014265.1,5,2
CM002272.1,8,2
CP009509.1,3,2
CP032514.1,3,2
CP016393.1,3,2
CP047602.1,1,2
CP045930.1,2,2
CP012175.1,4,2
CP060643.1,2,2
CP009498.1,2,2
CP000359.1,4,2
CP070994.1,2,2
CP024601.1,2,2
LR134343.1,1,2
LR590473.1,4,2
AP024305.1,7,2
CP023484.1,5,2
CP067088.1,2,2
CP016086.1,2,2
CP031628.1,1,2
CP017428.1,2,2
CP049685.1,1,2
CP012174.1,4,2
CP060635.1,3,2
CP013838.1,2,2
CP031638.1,2,2
CP019831.1,1,2
CP028107.1,2,2
CP016622.1,7,2
CP026599.1,8,2
CP002116.1,1,2
CP007574.1,4,2
CP022129.1,7,2
LR130240.1,1,2
CP061474.1,4,2
CP019836.1,1,2
CP007140.1,3,2
CP060244.1,6,2
AP014507.1,4,2
CP001097.1,4,2
AP010968.1,3,2
CP049074.1,4,2
CP003590.1,4,2
CP002726.1,7,2
CP089299.1,1,2
CP001807.1,3,2
CP001338.1,2,2
CP031775.3,5,2
CP029538.1,1,2
CP051138.1,1,2
CM001972.1,10,2
CP046570.1,4,2
CP033687.1,2,2
CP003207.1,3,2
CP012045.1,2,2
CP001157.1,2,2
CP012590.1,22,2
CP070960.1,5,2
CP049693.1,1,2
CP007034.1,1,2
CP044222.1,2,2
CP035055.1,2,2
CP002637.1,2,2
CP071001.1,2,2
CP031770.1,1,2
CP001654.1,4,2
CP010905.2,11,2
CP039283.1,11,2
CP042267.1,10,2
CP060649.1,1,2
CP012712.1,7,2
CP087226.1,6,2
CP073752.1,8,2
AP019547.1,2,2
CP026538.1,4,2
CP002432.1,2,2
CP037427.1,2,2
CP076377.1,11,2
CP033580.1,3,2
CP025026.1,2,2
CP002390.1,2,2
CP030864.1,5,2
LR824002.1,1,2
CP061096.1,1,2
CP028526.1,8,2
CP024111.1,3,2
LR994473.1,2,2
CP064782.1,4,2
CP043908.1,3,2
CP043930.1,1,2
CP031134.1,4,2
BA000048.1,5,2
FP929043.1,7,2
CP009516.1,4,2
CP024278.1,4,2
CP010874.1,2,2
CP092156.1,3,2
CP035926.1,3,2
CP023280.1,3,2
CP025096.1,4,2
CP091095.1,2,2
CP025029.1,2,2
CP030809.1,2,2
LR698975.1,3,2
CP002131.1,6,2
CP011523.1,5,2
CP069604.1,3,2
CP076386.1,6,2
CP003600.1,1,2
AP024484.1,2,2
CP082966.1,2,2
CP015749.1,4,2
CP028183.1,3,2
CP001221.1,6,2
CP091794.1,2,2
CP012024.1,8,2
CP018146.1,1,2
AP017629.1,2,2
CP061133.1,1,2
CP012177.1,2,2
CP081931.1,2,2
CP033237.1,4,2
CP013479.1,4,2
CP026977.1,4,2
CP070379.1,10,2
CP025892.1,4,2
AE017180.2,2,2
AP008937.1,3,2
CP035444.1,1,2
CP027806.1,2,2
CP053750.1,3,2
CP065383.1,3,2
CP082206.1,2,2
CP003423.1,4,2
CP002196.1,2,2
CP015243.1,3,2
LR134531.1,2,2
CP044129.1,2,2
CP046973.1,3,2
LS483315.1,2,2
CP085962.1,4,2
FO203503.1,3,2
CP016092.1,2,2
CP028288.1,3,2
CP031637.1,1,2
CP051010.1,2,2
LS974202.1,6,2
CP029458.1,3,2
CP031941.1,2,2
CP002557.1,2,2
CP000249.1,4,2
CP027858.1,2,2
CP039126.1,4,2
AP018050.1,4,2
CP002562.1,2,2
CP092161.1,2,2
CP020382.1,3,2
CP075546.1,3,2
CP047158.1,10,2
CP022527.1,1,2
CP060591.1,2,2
CP030810.1,2,2
CP015520.1,4,2
CP025119.1,1,2
CP073691.1,1,2
CP017702.1,2,2
CP049694.1,1,2
CP031030.1,3,2
CP062976.1,3,2
CP047318.1,3,2
CP026363.1,5,2
CP066185.1,3,2
AP025196.1,4,2
CP093014.1,6,2
CP028097.1,3,2
CP011536.1,3,2
CP042220.2,5,2
CP049816.1,2,2
LR130236.1,2,2
CP010822.1,8,2
CP006965.1,3,2
CP001655.1,4,2
CP059265.1,12,2
CP025881.1,4,2
CP006597.1,2,2
CP069600.1,3,2
CP076510.1,2,2
LR593886.1,5,2
CP072874.1,1,2
CP002809.1,7,2
CP011102.1,6,2
CP049958.1,9,2
CP033784.1,2,2
CP070858.1,2,2
CP060638.1,2,2
CP079205.1,3,2
CP068554.1,5,2
CP013331.1,1,2
CP091914.1,6,2
LT576032.1,2,2
LS483359.1,1,2
CP025227.1,2,2
CP020026.1,4,2
CP059069.1,2,2
CP000261.1,1,2
CP019801.1,1,2
CP075175.1,18,2
CP065233.1,2,2
CP047020.1,6,2
CP006585.1,1,2
CP036528.1,2,2
CP006723.1,7,2
CP019240.1,2,2
CP016635.1,2,2
CP065725.1,4,2
CP020424.2,8,2
CP060696.1,1,2
CP003249.1,4,2
CP058278.1,2,2
CP013695.1,3,2
CP049687.1,1,2
CP049017.1,3,2
CP053553.1,4,2
CP031621.1,1,2
LN614756.1,11,2
BX571656.1,2,2
CP037849.1,9,2
CP017430.1,2,2
CP001650.1,2,2
CP020559.1,2,2
CP012706.1,3,2
LR822010.1,1,2
AP012489.1,4,2
CP002670.1,2,2
CP025027.1,2,2
CP011913.1,3,2
LS483443.1,3,2
LR822011.1,1,2
CP085633.1,4,2
CP047496.1,1,2
CU466930.1,2,2
CP060698.1,2,2
CP033199.1,2,2
CP037806.1,11,2
CP041013.1,4,2
CP056821.1,4,2
CP029989.1,3,2
CP013733.1,6,2
CP032665.1,1,2
CP025074.1,6,2
CP037831.1,9,2
CP015104.1,5,2
CP044513.1,6,2
CP022885.1,1,2
AP024271.1,3,2
CP000829.1,2,2
CP051652.1,5,2
CP028530.1,8,2
CP047498.1,1,2
CP048103.1,8,2
CP035832.1,4,2
CP011055.2,4,2
CP003198.1,3,2
CP028724.1,3,2
CP031618.1,1,2
CP011535.2,1,2
CP016106.1,13,2
CP069596.1,3,2
CP054140.1,2,2
LS483321.1,2,2
CP013050.1,7,2
CP063145.1,3,2
CP033622.1,5,2
JACGCP010000001.1,3,2
CP024176.2,2,2
CP049764.1,5,2
CP036316.1,2,2
CP016552.1,7,2
CP079862.1,5,2
CP000493.1,2,2
CP021850.1,5,2
CP052764.1,3,2
CP049600.1,2,2
CP022188.1,4,2
CP002200.1,3,2
CP000023.1,2,2
CP090520.1,4,2
CP059732.1,3,2
AP018174.1,4,2
CP009517.1,2,2
AP004311.1,3,2
CP003051.1,4,2
CP007028.1,5,2
CP028841.1,1,2
CP025003.1,5,2
HG916826.1,4,2
CP055306.1,2,2
CP038231.1,4,2
CP000575.1,11,2
LR822031.1,2,2
AP024685.1,3,2
CP014027.2,2,2
CP062938.1,3,2
CP020991.1,2,2
CP003096.1,2,2
AP019834.1,5,2
CP065677.1,2,2
CP013939.1,2,2
LR699005.1,2,2
CM003135.1,3,2
LS483413.1,2,2
CP050134.2,4,2
CP065027.1,2,2
CP011158.1,2,2
CP092676.1,3,2
LS483471.1,2,2
CP091135.1,4,2
CP029554.1,4,2
CP017006.1,6,2
CP020347.1,4,2
LR134516.1,2,2
FP929053.1,3,2
LS483333.1,1,2
CP050073.1,3,2
CP069598.1,3,2
CP016602.1,3,2
CP036265.1,2,2
LT615367.1,4,2
CP006646.1,13,2
CP026983.1,4,2
CP032364.1,5,2
CP054394.1,4,2
CP059592.1,8,2
CM001555.1,2,2
CP049795.1,3,2
AHJQ01000001.1,2,2
LS483389.1,1,2
CP019830.1,1,2
CP021862.1,2,2
CP084768.1,3,2
LR134521.1,3,2
CP009502.1,3,2
CM001857.1,4,2
CP028523.1,8,2
AE017261.1,4,2
AP024320.1,2,2
AP024086.1,4,2
CP024598.1,2,2
CP017603.1,2,2
HE858529.1,3,2
CP060642.1,2,2
CP000259.1,1,2
CP063162.1,7,2
CP069440.1,4,2
CP020773.1,2,2
CP036531.1,2,2
CP047120.1,2,2
CP036293.1,5,2
CP006803.1,2,2
CP062310.1,2,2
CP081928.1,2,2
CP031253.1,2,2
CP061132.1,1,2
CP024985.1,13,2
CP009583.1,3,2
CP001140.1,2,2
CP015976.1,1,2
CP040464.1,2,2
CP051144.1,2,2
CP080959.1,2,2
CP031845.1,2,2
LT706985.1,2,2
CP023439.1,4,2
CP012370.1,2,2
FN665654.1,8,2
LR962097.1,3,2
CP027231.1,1,2
CP058984.1,2,2
CP042243.1,2,2
CP029352.1,2,2
CP012172.1,4,2
CP066223.1,3,2
CP092473.1,3,2
CP043671.1,6,2
CP000240.1,7,2
CP049055.1,4,2
CP018623.1,1,2
AP014944.1,3,2
CP001828.1,1,2
CP066811.1,4,2
LR130238.1,2,2
CP015028.1,3,2
CP002292.1,4,2
CP019655.1,6,2
CP020438.2,2,2
CP049690.1,1,2
CP069605.1,3,2
CP018217.1,2,2
CP027667.1,2,2
AE009439.1,5,2
CP031630.1,1,2
CP066041.1,3,2
CP000682.1,4,2
LR698984.1,8,2
CP036278.1,1,2
CP003776.1,4,2
CP072029.1,4,2
CP012176.1,4,2
CP011393.1,4,2
CP020872.1,5,2
LS483345.1,1,2
CP031626.1,1,2
LN734822.1,3,2
CP093015.1,3,2
CP015281.1,6,2
CP092152.1,3,2
CP069534.1,2,2
CP026649.1,2,2
CP025045.1,9,2
FP929059.1,2,2
CP011847.1,10,2
CP045564.1,3,2
CP092051.1,5,2
CP054178.1,6,2
CP006939.1,3,2
CP030845.1,2,2
CP019835.1,1,2
CP002736.1,4,2
CP002728.1,6,2
AP018718.1,2,2
LR778300.1,6,2
CP003360.1,2,2
CP003239.1,2,2
CP022378.1,3,2
CP047518.1,2,2
OU461276.1,4,2
CP006867.1,16,2
CP065036.1,4,2
CP011449.1,3,2
CP020705.1,6,2
CP010423.1,3,2
CP068103.1,3,2
CP046401.1,2,2
LM997411.1,1,2
CP073708.1,2,2
CP055246.1,1,2
CP026592.1,8,2
CP020378.1,7,2
CP072655.1,3,2
AP024513.1,5,2
CP001724.1,1,2
CP089094.1,5,2
CP033241.1,4,2
CP031264.1,5,2
CP031505.1,5,2
CP037818.1,9,2
CP016091.1,2,2
LR134288.1,2,2
AP024172.1,2,2
CP000968.1,2,2
CP014138.1,1,2
CP061947.1,2,2
CP027449.1,4,2
CP031507.1,5,2
CP077685.1,2,2
CP007632.1,2,2
CP076082.1,2,2
CP072115.1,2,2
AP006840.1,3,2
CP019832.1,1,2
CP019609.1,2,2
CP051623.1,2,2
AP014568.1,2,2
CP033239.1,4,2
CP069602.1,3,2
CP000859.1,2,2
LS483425.1,2,2
CP018176.1,1,2
CP023737.1,2,2
CP000812.1,2,2
AE010300.2,6,2
CP029423.1,8,2
CP006977.1,2,2
CP020361.1,3,2
AP010904.1,2,2
FR720325.1,2,2
CP069603.1,3,2
CP078069.1,2,2
CP029829.1,3,2
HE663493.1,4,2
BA000004.3,5,2
CP009226.1,3,2
FR733646.1,2,2
CP019807.1,1,2
CP072366.1,3,2
AP023393.1,2,2
CP016318.1,11,2
CP084656.1,3,2
CP065643.1,11,2
CM001167.1,1,2
CP089238.1,5,2
CP090026.1,1,2
CP091134.1,2,2
AP019815.1,3,2
CP046863.1,3,2
CP015399.2,2,2
CP013355.1,2,2
CP048738.1,6,2
CP065521.1,2,2
CP031640.1,1,2
CP014864.1,4,2
CP008903.1,6,2
CP005094.1,2,2
CP037830.1,11,2
CP002042.1,4,2
AP023367.1,3,2
CP046394.1,3,2
CP003107.1,10,2
CP022883.1,4,2
CP049799.1,2,2
CP049696.1,1,2
CP029250.1,2,2
CP034237.1,4,2
CP053845.1,2,2
CP031627.1,1,2
LT900021.1,9,2
CP019469.1,10,2
LR134366.1,2,2
CP035439.1,2,2
CP060789.1,6,2
CP022887.1,5,2
CP009515.1,9,2
CP035441.1,2,2
CP076457.1,3,2
LS991421.1,3,2
CP000077.1,3,2
CP013291.1,4,2
CP083590.1,5,2
LS483487.1,3,2
CP000450.1,2,2
CP081927.1,1,2
CP011104.1,3,2
FP929042.1,1,2
CP043880.1,6,2
CP065030.1,4,2
CP025028.1,2,2
FN995097.1,2,2
CP040441.1,8,2
AP014612.1,2,2
CP002792.1,8,2
FN869859.1,7,2
AP024802.1,5,2
CP078092.1,2,2
CP035438.1,2,2
CP061202.1,1,2
CP019820.1,1,2
CP066552.1,6,2
AP018040.2,2,2
CP040759.1,3,2
CP054708.1,4,2
CP000743.1,1,2
CP012543.1,4,2
CP063117.1,3,2
